iter	MultiClassOneVsAll
634	0.3065135289
635	0.3062308845
636	0.3059499395
637	0.3056031967
638	0.3051842032
639	0.3048663444
640	0.3045224859
641	0.304162881
642	0.3039781587
643	0.303703386
644	0.3034042327
645	0.3031849273
646	0.30270839
647	0.3023790857
648	0.3020971314
649	0.3018099296
650	0.3013789205
651	0.3010278521
652	0.3006533509
653	0.3002456476
654	0.3000504777
655	0.2996276136
656	0.2993089708
657	0.2990405339
658	0.2987551931
659	0.2983961692
660	0.298089057
661	0.2977312885
662	0.2974248786
663	0.2971187278
664	0.2968557751
665	0.2963835164
666	0.2960424873
667	0.2957367996
668	0.2953305213
669	0.2949840998
670	0.2946076814
671	0.2942935324
672	0.293922833
673	0.2935666047
674	0.2932718743
675	0.2929802611
676	0.2926776133
677	0.2923785416
678	0.2920498761
679	0.2917404066
680	0.2915486837
681	0.291293267
682	0.2910260554
683	0.290697611
684	0.2903853852
685	0.2901096812
686	0.2897084854
687	0.2894243815
688	0.2891511613
689	0.2888078695
690	0.2885037824
691	0.2882039681
692	0.2878789202
693	0.2875552364
694	0.2872277049
695	0.2868085107
696	0.286416531
697	0.2861849437
698	0.2859205535
699	0.2855766336
700	0.285282646
701	0.2850240684
702	0.2847204182
703	0.2844551546
704	0.2840669801
705	0.2838464078
706	0.2835207178
707	0.2831118737
708	0.2827228173
709	0.2824221516
710	0.2821147728
711	0.2817942238
712	0.2816027027
713	0.2812230938
714	0.2809224157
715	0.2806544416
716	0.28021035
717	0.2798785029
718	0.2795651256
719	0.2792365134
720	0.2787692424
721	0.2785268835
722	0.278233353
723	0.2779534111
724	0.2776788318
725	0.2773439592
726	0.2769636011
727	0.2766651628
728	0.2763681284
729	0.2760851779
730	0.2757398251
731	0.2754683217
732	0.2751322187
733	0.2746956333
734	0.2744254874
735	0.2741055133
736	0.2737425063
737	0.273296257
738	0.272878391
739	0.2725582091
740	0.2722611363
741	0.27205436
742	0.2717966215
743	0.2715404452
744	0.271208407
745	0.2709091661
746	0.2706338887
747	0.2702976778
748	0.2699780665
749	0.2695775009
750	0.2693094935
751	0.2690152047
752	0.2687585837
753	0.2685281862
754	0.2681466783
755	0.2678553905
756	0.2675325097
757	0.2671484516
758	0.2669275193
759	0.2666811069
760	0.2663115124
761	0.2659831098
762	0.2656229181
